import time: self [us] | cumulative | imported package
import time:       442 |        442 |   _io
import time:        63 |         63 |   marshal
import time:       471 |        471 |   posix
import time:       504 |       1479 | _frozen_importlib_external
import time:       127 |        127 |   time
import time:       174 |        300 | zipimport
import time:        78 |         78 |     _codecs
import time:       481 |        559 |   codecs
import time:      2177 |       2177 |   encodings.aliases
import time:      3915 |       6651 | encodings
import time:      1298 |       1298 | encodings.utf_8
import time:       167 |        167 | _signal
import time:        54 |         54 |     _abc
import time:       188 |        242 |   abc
import time:       250 |        491 | io
import time:        68 |         68 |       _stat
import time:        74 |        141 |     stat
import time:      1254 |       1254 |     _collections_abc
import time:        91 |         91 |       genericpath
import time:        98 |        189 |     posixpath
import time:       493 |       2075 |   os
import time:       136 |        136 |   _sitebuiltins
import time:      1533 |       1533 |   encodings.utf_8_sig
import time:      2906 |       2906 |   _virtualenv
import time:      1347 |       1347 |   _distutils_hack
import time:       576 |        576 |   sitecustomize
import time:      9246 |      17815 | site
import time:      1542 |       1542 |       warnings
import time:      1428 |       2969 |     importlib
import time:        81 |       3050 |   importlib.machinery
import time:      1737 |       1737 |     importlib._abc
import time:      1343 |       1343 |     types
import time:       175 |       3254 |   importlib.util
import time:       162 |       6464 | runpy
import time:       245 |        245 |           _operator
import time:      1391 |       1635 |         operator
import time:       338 |        338 |             itertools
import time:      1174 |       1174 |             keyword
import time:      1213 |       1213 |             reprlib
import time:       118 |        118 |             _collections
import time:      2483 |       5324 |           collections
import time:       110 |        110 |           _functools
import time:      1957 |       7390 |         functools
import time:      3173 |      12197 |       enum
import time:       250 |        250 |         _sre
import time:      1508 |       1508 |           re._constants
import time:      2205 |       3713 |         re._parser
import time:      1163 |       1163 |         re._casefix
import time:      2760 |       7884 |       re._compiler
import time:      1344 |       1344 |       copyreg
import time:      2020 |      23442 |     re
import time:       180 |        180 |       _csv
import time:      1933 |       2113 |     csv
import time:      1253 |       1253 |     email
import time:      1394 |       1394 |       fnmatch
import time:       190 |        190 |         _winapi
import time:       170 |        170 |         nt
import time:       134 |        134 |         nt
import time:       127 |        127 |         nt
import time:       121 |        121 |         nt
import time:       119 |        119 |         nt
import time:       122 |        122 |         nt
import time:       187 |       1167 |       ntpath
import time:       155 |        155 |       errno
import time:      1276 |       1276 |         urllib
import time:       169 |        169 |         math
import time:      5960 |       5960 |         ipaddress
import time:      4367 |      11771 |       urllib.parse
import time:      3027 |      17512 |     pathlib
import time:       241 |        241 |       binascii
import time:       224 |        224 |         zlib
import time:      1547 |       1547 |           _compression
import time:       114 |        114 |           _bz2
import time:      1494 |       3155 |         bz2
import time:       210 |        210 |           _lzma
import time:      1562 |       1772 |         lzma
import time:      2912 |       8061 |       shutil
import time:       182 |        182 |         _struct
import time:      1257 |       1439 |       struct
import time:      1519 |       1519 |         _weakrefset
import time:      2850 |       4368 |       threading
import time:      2731 |       2731 |         contextlib
import time:      1776 |       1776 |         zipfile._path.glob
import time:      2389 |       6895 |       zipfile._path
import time:      3400 |      24402 |     zipfile
import time:      3442 |       3442 |     textwrap
import time:      2645 |       2645 |         _ast
import time:      3920 |       6565 |       ast
import time:       117 |        117 |           _opcode
import time:      1962 |       2079 |         opcode
import time:      3320 |       5398 |       dis
import time:      1770 |       1770 |       collections.abc
import time:      1350 |       1350 |           token
import time:       118 |        118 |           _tokenize
import time:      3482 |       4948 |         tokenize
import time:      1354 |       6301 |       linecache
import time:      2138 |       2138 |       weakref
import time:      6785 |      28955 |     inspect
import time:      1475 |       1475 |         quopri
import time:       109 |        109 |               _bisect
import time:      1348 |       1457 |             bisect
import time:       113 |        113 |             _random
import time:        95 |         95 |             _sha2
import time:      1865 |       3529 |           random
import time:       701 |        701 |             _socket
import time:       175 |        175 |               select
import time:      2392 |       2567 |             selectors
import time:       224 |        224 |             array
import time:      4562 |       8053 |           socket
import time:       270 |        270 |             _datetime
import time:      1408 |       1678 |           datetime
import time:       206 |        206 |                 _locale
import time:      3171 |       3376 |               locale
import time:      5005 |       8381 |             calendar
import time:      1531 |       9912 |           email._parseaddr
import time:      1472 |       1472 |               base64
import time:      1192 |       2664 |             email.base64mime
import time:        96 |         96 |                 _string
import time:      2340 |       2436 |               string
import time:      1450 |       3886 |             email.quoprimime
import time:      2346 |       2346 |             email.errors
import time:      1276 |       1276 |             email.encoders
import time:      1558 |      11728 |           email.charset
import time:      2025 |      36922 |         email.utils
import time:      2446 |       2446 |           email.header
import time:      1670 |       4116 |         email._policybase
import time:      1650 |       1650 |         email._encoded_words
import time:      1198 |       1198 |         email.iterators
import time:      3063 |      48422 |       email.message
import time:      1133 |       1133 |         importlib.metadata._functools
import time:      1327 |       2460 |       importlib.metadata._text
import time:      2182 |      53063 |     importlib.metadata._adapters
import time:       151 |        151 |         _typing
import time:      7742 |       7892 |       typing
import time:      1807 |       9699 |     importlib.metadata._meta
import time:      1705 |       1705 |     importlib.metadata._collections
import time:      1285 |       1285 |     importlib.metadata._itertools
import time:      2304 |       2304 |           tempfile
import time:      1964 |       1964 |           importlib.resources.abc
import time:      1653 |       1653 |           importlib.resources._adapters
import time:      2204 |       8123 |         importlib.resources._common
import time:      1383 |       1383 |         importlib.resources._legacy
import time:      1204 |      10709 |       importlib.resources
import time:      1825 |      12533 |     importlib.abc
import time:      3956 |     183356 |   importlib.metadata
import time:      2479 |       2479 |     email.feedparser
import time:      1434 |       3913 |   email.parser
import time:      6874 |     194142 | brainchmark
import time:      1333 |       1333 |       __future__
import time:      2752 |       2752 |         gettext
import time:      2201 |       2201 |           click._compat
import time:      1214 |       1214 |             click.globals
import time:      1494 |       1494 |             click.utils
import time:      1903 |       4610 |           click.exceptions
import time:      3197 |      10008 |         click.types
import time:      1672 |       1672 |         click._utils
import time:      1664 |       1664 |           click.parser
import time:      1566 |       3230 |         click.formatting
import time:      1545 |       1545 |         click.termui
import time:      4611 |      23815 |       click.core
import time:      1996 |       1996 |       click.decorators
import time:      1449 |      28590 |     click
import time:        45 |      28634 |   click.exceptions
import time:      1691 |       1691 |   typer.colors
import time:       202 |        202 |       _wmi
import time:      2243 |       2444 |     platform
import time:      2567 |       2567 |       signal
import time:       178 |        178 |       fcntl
import time:       199 |        199 |       msvcrt
import time:        71 |         71 |       _posixsubprocess
import time:      2430 |       5442 |     subprocess
import time:      2476 |       2476 |     traceback
import time:       150 |        150 |       _uuid
import time:      4101 |       4250 |     uuid
import time:      1799 |       1799 |       annotated_doc.main
